Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover
"European Equities"
"06 Feb 2023"
"All datapoints provided as of end of last active trading day."
ASETEK;DK0060477263;ASTK;"Oslo Børs";NOK;14.50;14.64;14.08;14.14;"06/02/2023 16:25";CET;48508;693724.16
ATEA;NO0004822503;ATEA;"Oslo Børs";NOK;114.00;115.60;114.00;115.00;"06/02/2023 16:25";CET;25255;2902436.60
BOUVET;NO0010360266;BOUV;"Oslo Børs";NOK;57.50;59.60;57.50;59.00;"06/02/2023 16:25";CET;20706;1218164.00
CONTEXTVISION;SE0014731154;CONTX;"Oslo Børs";NOK;9.30;9.30;8.46;9.09;"06/02/2023 16:04";CET;112582;996010.45
"CRAYON GROUP HOLD";NO0010808892;CRAYN;"Oslo Børs";NOK;102.50;103.00;100.00;101.00;"06/02/2023 16:28";CET;125561;12736642.90
DLTX;NO0003055808;DLTX;"Oslo Børs";NOK;4.05;4.05;3.81;3.99;"06/02/2023 16:25";CET;259636;1013826.65
"ELLIPTIC LABORATOR";NO0010722283;ELABS;"Oslo Børs";NOK;19.94;20.95;19.94;20.20;"06/02/2023 16:25";CET;177549;3609198.80
HARMONYCHAIN;NO0010921299;HMONY;"Euronext Growth Oslo";NOK;0.70;0.72;0.55;0.70;"06/02/2023 16:14";CET;481958;327086.056
"HUDDLESTOCK FINTEC";NO0010859648;HUDL;"Euronext Growth Oslo";NOK;2.35;2.37;2.32;2.36;"06/02/2023 16:08";CET;68203;159571.99
INDUCT;NO0010536048;INDCT;"Euronext Growth Oslo";NOK;5.50;5.50;5.50;5.50;"03/02/2023 15:54";CET;10000;55000.00
ITERA;NO0010001118;ITERA;"Oslo Børs";NOK;14.10;14.40;13.90;14.40;"06/02/2023 16:25";CET;24628;343195.30
KAHOOT!;NO0010823131;KAHOT;"Oslo Børs";NOK;18.30;18.79;18.215;18.52;"06/02/2023 16:25";CET;1165358;21577316.00
"LINK MOBILITY GRP";NO0010894231;LINK;"Oslo Børs";NOK;9.65;9.85;9.50;9.78;"06/02/2023 16:25";CET;535619;5190609.855
"MINTRA HOLDING";NO0010895022;MNTR;"Euronext Growth Oslo";NOK;5.20;5.20;5.20;5.20;"06/02/2023 16:25";CET;2808;14601.60
"NEXT BIOMETRICS GP";NO0010629108;NEXT;"Oslo Børs";NOK;4.40;4.40;4.26;4.385;"06/02/2023 16:25";CET;35082;151770.20
"NORDIC SEMICONDUC";NO0003055501;NOD;"Oslo Børs";NOK;174.00;174.00;168.25;170.00;"06/02/2023 16:28";CET;800619;146068947.35
"OTELLO CORPORATION";NO0010040611;OTEC;"Oslo Børs";NOK;7.88;8.00;7.88;7.90;"06/02/2023 16:25";CET;9910;78364.14
"PEXIP HOLDING";NO0010840507;PEXIP;"Oslo Børs";NOK;15.20;16.44;15.17;15.85;"06/02/2023 16:26";CET;1108117;17563275.84
POLIGHT;NO0012535832;PLT;"Oslo Børs";NOK;26.51;27.535;26.07;26.505;"06/02/2023 16:25";CET;50850;1355546.56
"QUESTBACK GROUP";NO0011019119;QUEST;"Euronext Growth Oslo";NOK;41.00;42.00;41.00;42.00;"30/12/2022 15:14";CET;416;17272.00
"RIVER TECH";MT0001710103;RIVER;"Euronext Growth Oslo";NOK;41.80;41.80;41.80;41.80;"06/02/2023 09:04";CET;5;209.00
"SCHIBSTED SER. A";NO0003028904;SCHA;"Oslo Børs";NOK;227.00;229.00;225.00;227.60;"06/02/2023 16:28";CET;191283;43485380.60
"SCHIBSTED SER. B";NO0010736879;SCHB;"Oslo Børs";NOK;217.00;219.40;215.60;217.20;"06/02/2023 16:25";CET;76936;16700938.00
"SIKRI GROUP";NO0012548819;SIKRI;"Oslo Børs";NOK;9.098;9.098;8.88;9.09;"06/02/2023 14:36";CET;3514;31652.184
SMARTCRAFT;NO0011008971;SMCRT;"Oslo Børs";NOK;18.56;18.88;18.56;18.76;"06/02/2023 16:25";CET;36215;681906.01
STRONGPOINT;NO0010098247;STRO;"Oslo Børs";NOK;21.55;21.80;21.10;21.50;"06/02/2023 16:25";CET;20194;434972.05
TECHSTEP;NO0003095309;TECH;"Oslo Børs";NOK;1.13;1.13;1.04;1.06;"06/02/2023 16:25";CET;98359;103353.81
TIETOEVRY;FI0009000277;TIETO;"Oslo Børs";NOK;318.40;319.40;315.00;315.20;"06/02/2023 14:54";CET;8371;2656133.00
VOLUE;NO0010894603;VOLUE;"Oslo Børs";NOK;31.00;31.95;31.00;31.95;"06/02/2023 16:25";CET;6277;197717.45
WEBSTEP;NO0010609662;WSTEP;"Oslo Børs";NOK;26.50;26.70;26.00;26.10;"06/02/2023 14:18";CET;5605;147291.10
ZALARIS;NO0010708910;ZAL;"Oslo Børs";NOK;35.00;35.20;34.20;35.20;"06/02/2023 16:16";CET;8613;299596.20
